,Player,NewPos,MP,Gls,Ast,G+A,xG,xAG,Age,CrdY,CrdR,PrgC,PrgP,PrgR,FantasyPoints,PlayerCost
32,Darwin Núñez,FW,36,11,8,19,16.3,6.0,24,9,0,58,54,206,268.0,31.3
33,Wataru Endo,MF,29,1,0,1,0.5,1.7,30,10,0,10,101,21,64.02222222222223,11.35
34,Andrew Robertson,DF,23,3,2,5,1.9,5.4,29,2,0,63,140,130,194.95555555555558,12.600000000000001
35,Joe Gomez,DF,32,0,1,1,0.8,1.3,26,5,0,44,100,105,125.75555555555556,9.450000000000001
36,Cody Gakpo,FW,35,8,5,13,9.0,2.9,24,1,0,43,83,130,203.2888888888889,22.45
37,Ibrahima Konaté,DF,22,0,0,0,0.7,0.4,24,5,1,24,118,3,66.54444444444445,8.899999999999999
38,Curtis Jones,MF,23,1,1,2,2.6,0.7,22,3,1,31,74,88,104.65555555555555,12.95
39,Diogo Jota,FW,21,10,3,13,5.3,3.3,26,3,1,54,34,111,166.63333333333333,18.95
40,Jarell Quansah,DF,17,2,0,2,1.0,0.1,20,1,0,13,67,1,51.78888888888889,9.05
41,Ryan Gravenberch,MF,26,1,0,1,2.0,0.9,21,0,0,39,78,71,104.1888888888889,12.45
42,Harvey Elliott,MF,34,3,6,9,2.7,3.5,20,2,0,44,128,122,187.27777777777777,14.45
43,Caoimhín Kelleher,GK,10,0,0,0,0.0,0.0,24,0,0,0,1,0,0.6111111111111112,6.0
44,Conor Bradley,DF,11,1,3,4,0.9,1.5,20,2,0,35,29,64,79.42222222222222,9.65
45,Joël Matip,DF,10,0,0,0,0.5,0.1,31,2,0,8,34,1,20.61111111111111,8.55
46,Kostas Tsimikas,DF,13,0,3,3,0.1,1.0,27,0,0,24,31,73,74.34444444444443,8.6
47,Bobby Clark,MF,5,0,0,0,0.1,0.0,18,0,0,3,3,7,6.7555555555555555,10.1
48,Stefan Bajcetic,MF,1,0,0,0,0.0,0.0,18,0,0,0,1,0,0.5111111111111111,10.0
49,Ben Doak,FW,1,0,0,0,0.0,0.0,17,0,0,0,0,0,0.011111111111111112,12.0
50,Jayden Danns,FW,2,0,0,0,0.0,0.0,17,1,0,0,1,2,0.5222222222222223,12.0
51,Owen Beck,DF,1,0,0,0,0.0,0.0,20,0,0,0,0,1,0.5111111111111111,8.0
52,Thiago Alcántara,MF,1,0,0,0,0.0,0.0,32,0,0,0,0,0,-0.1888888888888889,10.0
